message;severity;node;stamp;location
"[SLAM_PROCESS_CONES] observations=11, landmarks=394, candidates=35";"10";"cc_slam_node";"1752768802.907913200";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_ADD_OBSERVATION] keyframe=61, landmark=353, obs_pos=[5.19,-2.35]";"10";"cc_slam_node";"1752768795.378235576";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_KEYFRAME_CREATED] id=60, pose=[70.12,26.65,3.10]";"20";"cc_slam_node";"1752768794.646775691";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:317"
"[SLAM_ADD_OBSERVATION] keyframe=59, landmark=342, obs_pos=[4.01,2.60]";"10";"cc_slam_node";"1752768793.949251650";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"[SLAM_PROCESS_CONES] observations=8, landmarks=351, candidates=24";"10";"cc_slam_node";"1752768792.880882611";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:295"
"[SLAM_ADD_OBSERVATION] keyframe=56, landmark=338, obs_pos=[4.31,2.61]";"10";"cc_slam_node";"1752768791.842340828";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768786.865334603";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ADD_OBSERVATION] keyframe=49, landmark=308, obs_pos=[1.98,-1.75]";"10";"cc_slam_node";"1752768785.171467196";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:349"
"Backend current_estimate is None";"10";"cc_slam_node";"1752768783.170383396";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_publish_keyframes:532"
"[SLAM_ASSOCIATION] matched_pairs=9, unmatched_obs=3";"10";"cc_slam_node";"1752768782.364650829";"/home/user1/ROS2_Workspace/Symforce_ws/build/cc_slam_sym/cc_slam_sym/ros_bridge/slam_ros_node.py:_process_cones:296"
